tasks,variants,memory,xml,generator,description
1,258001,57663488,351,126,755
1,259001,57663488,351,126,762
1,260001,57663488,351,126,757
1,261001,57663488,351,126,758
1,262001,57663488,351,126,753
1,263001,57663488,351,126,757
1,264001,57663488,351,126,764
1,265001,57663488,351,127,759
1,266001,57663488,351,125,759
1,267001,57663488,351,126,763
1,268001,57663488,351,125,762
1,269001,57663488,351,126,759
1,270001,57663488,351,127,762
1,271001,57663488,351,126,759
1,272001,57663488,351,125,762
1,273001,57663488,351,126,757
1,274001,57663488,351,127,761
1,275001,57663488,351,126,849
1,276001,57663488,351,127,758
1,277001,57663488,351,126,757
1,278001,57663488,351,126,759
1,279001,57663488,351,126,760
1,280001,57663488,351,126,773
1,281001,57663488,351,126,765
1,282001,57663488,351,126,762
1,283001,57663488,351,224,857
1,284001,57663488,351,125,754
1,285001,57663488,351,127,766
1,286001,57663488,351,126,760
1,287001,57663488,351,206,765
1,288001,57663488,351,126,757
1,289001,57663488,351,126,757
1,290001,57663488,351,126,755
1,291001,57663488,351,126,754
1,292001,57663488,351,126,757
1,293001,57663488,351,126,757
1,294001,57663488,351,140,761
1,295001,57663488,351,126,767
1,296001,57663488,351,126,760
1,297001,57663488,351,126,762
1,298001,57663488,351,126,755
1,299001,57663488,351,126,776
1,300001,57663488,351,126,758
1,301001,57663488,351,126,763
1,302001,57663488,351,145,784
1,303001,57663488,351,126,760
1,304001,57663488,351,127,765
1,305001,57663488,351,126,765
1,306001,57663488,351,126,761
1,307001,57663488,351,126,759
1,308001,57663488,351,126,762
1,309001,57663488,351,126,758
1,310001,57663488,351,126,1133
1,311001,57663488,351,132,761
1,312001,57663488,351,246,1550
1,313001,57663488,351,126,760
1,314001,57663488,351,126,758
1,315001,57663488,351,126,799
1,316001,57663488,351,128,763
1,317001,57663488,351,144,764
1,318001,57663488,351,126,765
1,319001,57663488,351,125,783
1,320001,57663488,351,126,761
1,321001,57663488,351,126,762
1,322001,57663488,351,126,796
1,323001,57663488,351,126,757
1,324001,57663488,351,125,759
1,325001,57663488,351,126,759
1,326001,57663488,351,126,757
1,327001,57663488,351,126,753
1,328001,57663488,351,126,762
1,329001,57663488,351,211,1055
1,330001,57663488,351,126,763
1,331001,57663488,351,127,763
1,332001,57663488,351,270,1512
1,333001,57663488,351,126,759
1,334001,57663488,351,126,759
1,335001,57663488,351,128,759
1,336001,57663488,351,127,760
1,337001,57663488,351,126,758
1,338001,57663488,351,126,761
1,339001,57663488,351,126,759
1,340001,57663488,351,126,761
1,341001,57663488,351,126,759
1,342001,57663488,351,128,763
1,343001,57663488,351,207,785
1,344001,57663488,351,128,759
1,345001,57663488,351,126,762
1,346001,57663488,351,127,771
1,347001,57663488,351,128,759
1,348001,57663488,351,128,760
1,349001,57663488,351,126,1252
1,350001,57663488,351,126,759
1,351001,57663488,351,126,781
1,352001,57663488,351,126,765
1,353001,57663488,351,126,826
1,354001,57663488,351,127,761
1,355001,57663488,351,127,760
1,356001,57663488,351,127,757
1,357001,57663488,351,126,758
1,358001,57663488,351,127,763
1,359001,57663488,351,126,759
1,360001,57663488,351,253,909
1,361001,57663488,351,127,762
1,362001,57663488,351,127,759
1,363001,57663488,351,128,769
1,364001,57663488,351,126,758
1,365001,57663488,351,126,761
1,366001,57663488,351,126,759
1,367001,57663488,351,126,762
1,368001,57663488,351,126,753
1,369001,57663488,351,126,758
1,370001,57663488,351,128,793
1,371001,57663488,351,126,759
